feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,value
0.4621,0.20982,0.2149,0.15657,0.2863,0.16619,0.13666,0.12601,0.14685,0.11047,0.25626,0.17175,0.18693,0.94917,0.20333,0.16544,0.91057,0.45765,0.50406,0.69915,0.68673,1.1816,0.70362,0.94805,0.63704,0.58441,0.93714,0.65407,0.89086,1.8012,1.9426,1.6494,0.30602,0.15221,0.20147,0.23049,0.22446,0.24612,0.17672,0.17921,0.166,0.16846,0.24872,0.17716,0.16025,0.61526,0.24243,0.24224,0.84,0.34,0.3,0.225,0.42,0.2,0.195,0.145,0.185,0.12,0.41,0.165,0.21,1.745,0.215,0.22,1.0038,0.97603,0.97878,0.89909,0.8614,0.91967,0.9436,0.92202,0.90079,0.99179,0.96251,1.0195,0.94827,1.0085,0.8531,0.87335,0.87011,0.90409,0.90812,0.84082,0.70769,0.85177,0.89311,0.85552,0.83995,0.94445,0.88165,0.9466,0.59909,0.77622,0.55187,0.78863,1
0.27401,0.23,0.348,0.2434,0.42928,0.40305,0.080027,0.087855,0.16877,0.19535,0.29227,0.16208,0.148,1.0164,0.16641,0.12901,0.84474,0.81336,0.79952,0.82861,1.3215,1.4017,0.80349,0.47222,0.37263,0.5634,1.0124,0.75908,0.47424,2.4961,1.038,0.64792,0.24231,0.17462,0.22298,0.28815,0.25308,0.27024,0.15428,0.15286,0.15131,0.16335,0.24447,0.20884,0.17962,0.64052,0.20748,0.17685,0.3,0.345,0.605,0.35,0.79,0.79,0.08,0.095,0.245,0.325,0.46,0.175,0.195,1.815,0.245,0.145,0.97401,0.9793,0.97236,0.93955,0.87967,0.95588,0.94708,0.90765,0.92349,1.0091,0.97184,0.99816,0.98251,1.0054,0.8531,0.85352,0.85294,0.90082,0.88484,0.84244,0.66203,0.81555,0.90965,0.86451,0.85085,0.93025,0.88009,0.94144,0.73945,0.74688,0.60904,0.79854,1
0.25007,0.16806,0.26115,0.17746,0.37317,0.37353,0.16016,0.12939,0.11226,0.17861,0.2595,0.13332,0.1646,0.98148,0.11332,0.16639,0.68949,0.75315,0.60448,0.70914,0.80469,0.92912,0.6175,0.58402,0.49419,0.69141,0.82052,0.61691,0.41378,1.5787,0.81336,0.53986,0.24762,0.13838,0.22476,0.23157,0.25161,0.29973,0.14225,0.1418,0.17191,0.16589,0.25364,0.16304,0.16084,0.59848,0.15595,0.19684,0.295,0.26,0.4925,0.215,0.6425,0.71,0.06,0.1175,0.1375,0.2275,0.4725,0.1375,0.2075,1.71,0.1375,0.1575,0.94329,0.9654,0.95951,0.90394,0.88119,0.9159,1.015,0.94808,0.88717,0.99416,0.9695,1.0033,0.99962,1.0339,0.75415,0.85262,0.83758,0.90736,0.88805,0.83273,0.69247,0.82763,0.90355,0.86181,0.83269,0.91683,0.89176,0.93702,0.74287,0.75957,0.62223,0.75258,1
0.23016,0.15864,0.2273,0.20947,0.37326,0.26998,0.10073,0.09011,0.13716,0.158,0.25227,0.16792,0.14434,0.94938,0.14658,0.11336,0.65719,0.62877,0.73473,1.3056,0.92341,1.2243,0.42544,0.37672,0.61874,0.67344,1.0626,0.60502,0.48643,1.7447,0.65829,0.51421,0.21723,0.15495,0.1908,0.30311,0.27169,0.29403,0.16071,0.11253,0.16745,0.18625,0.27621,0.16459,0.1458,0.56726,0.15072,0.17997,0.195,0.195,0.375,0.255,0.685,0.48,0.09,0.1,0.12,0.21,0.365,0.14,0.18,1.65,0.2,0.145,0.94962,0.98257,0.94988,0.90151,0.86597,0.90684,0.97667,0.90765,0.91259,0.99021,0.95162,1.021,0.96539,0.98633,0.73876,0.84721,0.8168,0.90736,0.88243,0.82868,0.67116,0.83592,0.90355,0.8699,0.81906,0.91841,0.85288,0.9466,0.73945,0.71437,0.56287,0.79584,1
0.33583,0.38062,0.39247,0.60772,0.23209,0.6268,0.4811,0.53865,0.39989,0.32713,0.29883,0.14453,0.12312,0.85996,0.12169,1.8504,1.5123,1.9986,1.9582,2.8883,2.5211,2.1461,1.5912,3.5924,3.7716,1.2934,1.0403,0.71724,0.53485,2.7102,1.0541,5.0431,0.4649,0.70539,0.50337,0.80296,0.42793,0.53395,0.49279,0.72693,0.64494,0.42279,0.3404,0.25531,0.13847,0.74388,0.24742,1.2502,0.56,0.515,0.6925,0.63,0.2875,0.3825,0.545,0.63,0.355,0.33,0.285,0.1775,0.1225,1.425,0.2,3.365,1.0355,1.2286,1.1185,1.2042,0.87662,1.1166,1.0646,1.2222,1.1187,1.2119,1.0947,1.0387,1.0099,0.97205,0.70139,0.80575,0.91077,1.0815,1.0157,0.91689,0.71378,0.75444,0.79039,0.91034,0.93348,1.0494,0.93452,0.99595,0.70864,0.74847,0.59585,0.18567,2
0.31756,0.5386,0.51414,0.34611,0.29249,0.32921,0.2314,0.4798,0.34678,0.22456,0.17942,0.17714,0.070483,0.90734,0.10118,1.8887,3.1553,2.7535,1.5065,2.1463,1.3978,2.2776,1.3218,1.9717,4.3613,1.211,0.7174,1.3157,0.3696,2.6082,0.63821,10.254,0.56329,0.81797,0.5803,0.67641,0.38723,0.61778,0.47785,0.49173,0.67343,0.47402,0.2794,0.51125,0.11286,0.8801,0.22009,2.4106,0.525,0.43,0.6025,0.3425,0.2375,0.415,0.3225,0.61,0.46,0.295,0.2,0.2175,0.095,1.655,0.1275,3.05,1.0246,1.3594,1.1386,1.0763,0.92228,1.0623,1.0602,1.1844,1.1187,1.1236,1.0208,1.0409,0.82846,0.99743,0.66841,0.71112,0.91077,1.0136,0.86557,0.93469,0.68638,0.93777,0.97929,0.85822,0.95527,1.0525,0.95084,0.97606,0.70864,0.74212,0.56287,0.18657,2
0.31645,0.34167,0.60753,0.5199,0.32657,0.42964,0.40852,0.38588,0.47701,0.48922,0.24159,0.33368,0.073082,0.99545,0.075498,1.5549,2.4696,2.0968,3.5236,4.3485,1.5291,2.9905,1.9875,3.31,1.991,1.2605,1.5176,2.694,0.31321,2.9294,0.94323,10.179,0.59634,0.64878,0.71475,0.8128,0.38295,0.76822,0.52369,0.53586,0.55319,0.33552,0.39931,0.36622,0.10924,0.93904,0.20051,1.7011,0.37,0.3925,0.7075,0.61,0.4325,0.46,0.295,0.4875,0.565,0.255,0.25,0.19,0.11,1.82,0.105,3.0575,1.0481,1.2752,1.3072,1.1111,0.92837,1.0547,1.1969,1.0964,1.0697,1.1851,1.0558,1.0976,0.84215,1.0054,0.66841,0.59395,0.88908,1.106,1.0117,0.95493,0.68638,0.81706,0.9819,0.89237,0.79364,0.91368,0.9384,0.9245,0.72918,0.75481,0.58705,0.18206,2
0.51447,0.44934,0.38003,0.43565,0.2664,0.46792,0.27748,0.47752,0.27505,0.30856,0.27186,0.25863,0.15191,0.98072,0.083996,1.1034,2.1757,1.9939,2.9613,1.7988,1.4725,3.3722,1.8386,2.0763,1.6181,1.1153,1.3107,1.4246,0.43666,2.8392,0.45436,8.0567,0.58131,0.63259,0.73969,0.67317,0.42176,0.64263,0.63841,0.64141,0.53093,0.379,0.39639,0.31393,0.15668,0.89607,0.15583,1.5129,0.495,0.4925,0.5925,0.515,0.4325,0.4575,0.35,0.5525,0.335,0.275,0.2425,0.1675,0.14,1.755,0.1075,1.49,1.133,1.2752,1.1627,1.0965,0.91163,1.1792,1.0663,1.2177,1.0479,1.1583,1.0791,1.1087,0.85584,1.0926,0.65082,0.5579,0.86197,1.0357,1.0302,0.92498,0.75487,0.92797,0.95143,0.9346,0.9244,0.96102,0.90808,0.98564,0.56143,0.77067,0.56946,0.18296,2
0.50383,0.27215,0.37272,0.44696,0.30928,0.34775,0.40195,0.36481,0.4193,0.22215,0.20089,0.20266,0.070876,0.94808,0.13158,1.7085,1.394,2.6979,3.4711,2.0442,1.326,1.9467,1.3869,1.8711,1.1461,1.8285,1.2634,0.89767,0.26791,2.9477,0.5061,11.206,0.47365,0.66296,0.82871,0.59842,0.48992,0.5966,0.49668,0.52107,0.4695,0.4928,0.32399,0.31496,0.10345,0.90682,0.1953,2.6933,0.885,0.4225,0.5,0.6875,0.4125,0.38,0.2875,0.6525,0.385,0.28,0.215,0.19,0.1075,1.66,0.15,2.885,1.0445,1.1959,1.1627,1.133,0.9588,1.0789,1.2056,1.0586,1.1569,1.152,1.0317,1.0851,0.82503,1.0244,0.76295,0.63811,0.86378,1.106,1.0382,0.96545,0.72747,0.91891,0.94882,0.94359,0.94438,1.0336,0.95473,0.98932,0.7326,0.78018,0.57386,0.18386,2
0.41104,0.48036,0.50048,0.52317,0.3244,0.31456,0.30412,0.44934,0.34029,0.22802,0.19256,0.26611,0.074882,0.98109,0.10262,1.7928,2.4503,6.1884,2.0901,1.7954,2.1986,2.8305,2.6771,2.2929,2.6751,2.152,1.3937,1.6011,0.46921,3.5141,0.59929,7.3552,0.50808,1.1622,0.58567,0.55383,0.44606,1.034,0.78833,0.67433,0.61143,0.58053,0.31889,0.45233,0.1691,0.80889,0.20613,1.8388,0.48,0.4075,0.6825,0.795,0.4925,0.4925,0.3375,0.675,0.525,0.28,0.265,0.2075,0.085,1.745,0.09,2.2425,1.1475,1.3627,1.2686,1.1192,0.98772,1.0336,1.0794,1.108,1.0824,1.1378,1.0278,1.1285,0.84215,1.0133,0.72777,0.72283,0.89992,1.0978,1.0543,0.94926,0.77313,0.92646,0.95143,0.89237,0.96799,1.0462,0.96173,0.993,0.70521,0.77701,0.59585,0.15863,2
