feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,value
0.45338,0.20658,0.20593,0.1353,0.27901,0.1514,0.12481,0.11368,0.14037,0.091719,0.23103,0.1076,0.15159,0.9442,0.14077,0.13709,0.57468,0.2768,0.34492,0.77694,0.78686,1.4895,0.50394,0.87821,0.34372,0.36435,0.94445,0.45531,0.68544,2.6645,0.46241,0.69606,0.25697,0.12105,0.15623,0.17324,0.26089,0.29242,0.092443,0.12065,0.14227,0.12296,0.27335,0.14118,0.17144,0.76198,0.11608,0.19635,0.84938,0.37905,0.27676,0.2427,0.37871,0.19988,0.18762,0.13703,0.21611,0.11752,0.33756,0.15234,0.21315,1.7649,0.27772,0.15936,10.983,11.826,12.115,11.102,5.6492,12.202,10.795,10.252,9.9559,12.452,12.164,13.426,2.6891,12.662,3.3128,9.3231,9.6532,11.196,11.381,10.58,4.6627,11.495,10.363,9.6428,9.367,11.992,11.408,12.935,2.197,9.8172,2.8871,8.7852,1
0.25542,0.21641,0.3363,0.21438,0.42555,0.3855,0.043828,0.065232,0.13614,0.17817,0.27467,0.11828,0.13858,1.0145,0.12111,0.10837,0.76773,0.61591,0.69157,0.61743,2.2119,2.4868,0.19348,0.31323,0.31828,4.2458,1.4406,0.72642,0.58538,1.5943,0.62783,0.39935,0.25646,0.15513,0.19698,0.15565,0.27595,0.22038,0.059539,0.09124,0.091119,0.34273,0.41606,0.074998,0.16641,0.63529,0.10498,0.12276,0.30894,0.33936,0.60776,0.36495,0.76503,0.79573,0.058218,0.08405,0.21594,0.29816,0.43212,0.20212,0.23144,1.8508,0.23327,0.15231,10.37,11.795,12.077,11.176,5.7455,12.224,10.727,10.071,9.8878,12.559,12.314,13.338,2.6785,12.539,3.3113,9.351,9.4579,11.059,11.045,10.478,4.3959,11.079,10.56,9.803,9.4027,11.95,11.377,12.941,2.2099,9.4491,2.9775,8.9252,1
0.22934,0.15664,0.25653,0.15403,0.34638,0.36496,0.088927,0.096167,0.092402,0.13239,0.25045,0.088723,0.1319,0.9725,0.088798,0.10851,0.48555,1.0979,0.39439,0.75267,0.64892,0.50979,0.26842,0.4987,0.281,0.43114,0.81681,0.19537,0.41502,1.3148,0.26976,0.93774,0.20032,0.11515,0.15646,0.13694,0.2137,0.22358,0.089161,0.14045,0.10257,0.14783,0.19982,0.081073,0.13662,0.62973,0.058723,0.20344,0.3218,0.22508,0.50316,0.1731,0.63364,0.70431,0.049975,0.12086,0.12567,0.19541,0.47761,0.12719,0.17171,1.7059,0.14504,0.13716,10.264,11.638,11.878,11.094,5.6196,12.117,10.848,10.139,9.7333,12.493,12.227,13.334,2.683,12.517,3.2847,9.2843,9.4679,11.108,11.107,10.521,4.5739,11.02,10.446,9.7711,9.4143,11.965,11.498,13.024,2.2339,9.6544,3.016,8.8646,1
0.20254,0.14683,0.21914,0.18707,0.36763,0.25307,0.049559,0.07625,0.086753,0.13661,0.23844,0.072357,0.11076,0.94184,0.12497,0.083631,0.44946,0.53003,0.49156,0.56347,0.75803,2.2614,0.23665,0.26912,0.72218,0.37941,1.5406,0.89818,0.31266,2.9981,0.1792,0.3974,0.18717,0.1188,0.14506,0.21534,0.23338,0.48274,0.094078,0.089717,0.13466,0.10851,0.22296,0.18324,0.10493,0.6764,0.084809,0.11126,0.22696,0.22912,0.40167,0.20494,0.67345,0.50797,0.064155,0.072493,0.14319,0.2289,0.39411,0.10736,0.16316,1.648,0.23412,0.095984,10.141,11.673,11.75,11.036,5.5723,11.922,10.72,10.064,9.6929,12.401,12.225,13.334,2.5782,12.328,3.2743,9.2495,9.4069,11.15,11.05,10.318,4.4331,11.171,10.509,9.7548,9.4043,11.931,11.389,13.07,2.2162,9.4817,2.914,8.9188,1
0.2868,0.28778,0.36111,0.47122,0.20921,0.2566,0.24725,0.41473,0.30288,0.19332,0.19309,0.082009,0.07185,0.84958,0.099465,1.5378,1.5581,0.93217,1.7288,3.6364,2.4079,0.71597,0.93279,0.72152,1.0997,0.671,0.96731,0.3507,0.25933,2.9621,0.77606,4.2169,0.41888,0.32291,0.51939,0.61592,0.53488,0.30641,0.35901,0.2611,0.36381,0.26074,0.31858,0.11625,0.064847,0.93295,0.1725,1.3028,0.45895,0.50617,0.65958,0.46771,0.26199,0.27972,0.42011,0.60806,0.29497,0.37414,0.30488,0.078469,0.10585,1.2986,0.16751,2.7441,11.352,14.731,13.882,13.191,5.6807,13.422,12.027,11.998,11.638,14.037,12.799,13.936,2.4547,12.182,3.1423,8.8811,10.424,13.824,12.778,11.49,4.8946,12.438,11.23,10.592,10.576,13.394,12.151,13.564,2.1927,9.5401,2.7068,4.2268,2
0.25081,0.27176,0.35206,0.28224,0.19638,0.17694,0.15636,0.36832,0.21771,0.1508,0.15436,0.095292,0.057958,0.88176,0.04883,1.2938,0.8417,1.196,1.1019,1.329,0.50082,1.3942,0.45587,1.2138,1.5772,0.39719,0.36096,0.37835,0.18581,2.2453,0.18589,18.19,0.26957,0.40258,0.28214,0.35353,0.24407,0.38006,0.14479,0.4659,0.34087,0.16054,0.20119,0.14105,0.078449,0.72779,0.08175,3.3129,0.40022,0.3799,0.61134,0.28184,0.25297,0.258,0.28094,0.67528,0.36183,0.1496,0.22185,0.10876,0.086587,1.509,0.064201,2.4238,11.101,14.625,13.987,12.963,5.7456,13.405,11.924,11.718,11.39,14.023,12.879,13.93,2.3973,12.445,2.9049,7.801,10.273,13.63,12.86,11.952,5.0605,12.743,11.436,10.639,10.718,13.474,12.34,13.571,2.1998,9.9002,2.7181,3.6996,2
0.24341,0.18119,0.46635,0.45792,0.29959,0.22462,0.21699,0.2683,0.354,0.29338,0.16089,0.16138,0.058263,0.96228,0.045675,1.1984,1.5988,1.1645,1.0859,1.2736,0.83302,2.2803,1.7721,1.0302,0.84821,7.7202,1.6469,0.92966,0.46526,2.768,0.39988,5.5492,0.3187,0.2469,0.38476,0.48643,0.37645,0.46792,0.28249,0.2756,0.35157,0.62259,0.44904,0.1636,0.10784,0.87495,0.086464,1.682,0.34608,0.14662,0.5771,0.64015,0.37931,0.40641,0.38932,0.33337,0.37658,0.14616,0.24363,0.070512,0.10019,1.6595,0.054071,1.7409,11.176,14.738,14.679,13.479,5.9838,13.158,12.176,11.766,11.697,14.29,12.953,14.104,2.3711,12.534,2.9006,6.2908,10.379,13.986,13.069,12.107,4.9805,12.457,11.414,10.866,10.5,12.973,12.403,13.416,2.1803,9.72,2.7287,1.7956,2
0.32094,0.21938,0.29638,0.33805,0.24753,0.26863,0.14658,0.31489,0.21227,0.1489,0.12231,0.15631,0.10096,0.93654,0.055586,0.60259,1.1781,0.70194,1.4459,1.3748,1.0988,0.61223,1.0836,1.2522,0.70196,0.88783,0.76645,0.36595,0.31341,2.9662,0.26504,8.8883,0.38783,0.25061,0.38674,0.44126,0.35823,0.25751,0.24345,0.30749,0.23025,0.21468,0.21942,0.15451,0.097198,0.86756,0.06449,1.52,0.57961,0.2844,0.53667,0.4857,0.33031,0.36018,0.1971,0.61025,0.23437,0.16021,0.17912,0.20749,0.18427,1.6407,0.082535,0.96925,11.121,14.39,13.988,13.288,5.9178,13.637,11.865,11.701,11.416,13.971,12.894,14.085,2.45,12.598,2.8735,4.7584,10.133,13.624,13.08,12.153,5.0618,12.718,11.307,10.757,10.689,13.386,12.439,13.524,2.1311,10.017,2.684,2.5476,2
0.45077,0.16565,0.27149,0.38386,0.28566,0.16456,0.21115,0.33285,0.27452,0.11864,0.12435,0.096203,0.056269,0.92516,0.076047,1.357,1.0184,0.64023,0.82043,1.011,1.0872,0.54221,0.49631,0.4583,1.9965,0.71381,0.53511,0.38389,0.15237,1.9094,0.32206,15.746,0.29254,0.22755,0.32356,0.40643,0.41314,0.17153,0.16109,0.1993,0.42297,0.27823,0.15515,0.17124,0.04983,0.53195,0.093202,2.3771,0.77689,0.19193,0.48603,0.55884,0.38829,0.29937,0.28236,0.62419,0.22955,0.14215,0.114,0.1542,0.10475,1.7413,0.12357,2.3834,11.428,14.417,13.989,13.627,6.0819,13.354,12.03,11.783,11.635,14.126,12.952,14.001,2.3782,12.784,2.9408,6.6961,10.054,13.744,13.096,12.452,5.1104,12.845,11.319,10.75,10.639,13.694,12.442,13.656,2.2158,10.119,2.6825,2.0249,2
0.25738,0.21968,0.39106,0.46706,0.2641,0.11348,0.15617,0.3723,0.27582,0.1413,0.16342,0.092223,0.049335,0.959,0.046246,1.3979,1.4087,2.9083,1.1387,1.6945,0.68696,0.45657,0.33787,1.7586,0.69515,0.75957,0.49433,1.6928,0.31543,4.0171,0.62702,4.7281,0.34409,0.7313,0.37671,0.52584,0.23209,0.16061,0.14006,0.43554,0.20714,0.19278,0.14423,0.29025,0.088719,0.70631,0.082688,1.7103,0.50792,0.34836,0.69018,0.75341,0.34174,0.13269,0.27519,0.63301,0.44555,0.28331,0.22901,0.090964,0.079174,1.8601,0.071679,2.6147,11.068,14.809,14.541,13.722,6.0266,13.321,11.909,11.924,11.764,14.14,13.102,14.167,2.3587,12.557,2.9482,7.687,10.255,14.015,13.334,12.26,5.1696,12.83,11.411,10.78,10.897,13.731,12.53,13.778,2.1952,9.9401,2.7954,3.56,2
