feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,value
10.983,11.826,12.115,11.102,5.6492,12.202,10.795,10.252,9.9559,12.452,12.164,13.426,2.6891,12.662,3.3128,9.3231,9.6532,11.196,11.381,10.58,4.6627,11.495,10.363,9.6428,9.367,11.992,11.408,12.935,2.197,9.8172,2.8871,8.7852,1
10.37,11.795,12.077,11.176,5.7455,12.224,10.727,10.071,9.8878,12.559,12.314,13.338,2.6785,12.539,3.3113,9.351,9.4579,11.059,11.045,10.478,4.3959,11.079,10.56,9.803,9.4027,11.95,11.377,12.941,2.2099,9.4491,2.9775,8.9252,1
10.264,11.638,11.878,11.094,5.6196,12.117,10.848,10.139,9.7333,12.493,12.227,13.334,2.683,12.517,3.2847,9.2843,9.4679,11.108,11.107,10.521,4.5739,11.02,10.446,9.7711,9.4143,11.965,11.498,13.024,2.2339,9.6544,3.016,8.8646,1
10.141,11.673,11.75,11.036,5.5723,11.922,10.72,10.064,9.6929,12.401,12.225,13.334,2.5782,12.328,3.2743,9.2495,9.4069,11.15,11.05,10.318,4.4331,11.171,10.509,9.7548,9.4043,11.931,11.389,13.07,2.2162,9.4817,2.914,8.9188,1
10.567,12.971,13.045,12.192,5.7201,12.287,11.449,10.481,9.9207,12.537,12.059,14.102,2.6712,12.364,3.3741,10.137,7.751,10.566,10.3,9.8088,4.378,10.466,9.8321,8.9536,8.6399,11.006,10.712,11.89,2.1612,8.9843,2.9337,8.2807,1
11.618,13.787,13.462,12.544,6.0864,13.654,12.494,11.791,11.357,14.4,13.793,17.033,2.7622,14.254,3.5129,10.554,10.335,12.56,12.662,11.929,4.6326,12.287,11.449,10.481,9.9207,12.537,11.881,14.102,2.2443,10.167,2.9187,9.4532,1
11.3,13.495,13.302,12.568,5.8745,13.625,11.944,11.635,10.529,14.807,13.471,15.327,2.7227,13.507,3.2176,10.082,10.255,12.59,12.164,11.797,4.3787,12.407,11.675,11.132,9.8594,13.663,12.034,14.072,2.2234,10.202,2.9272,9.5495,1
10.931,13.202,12.721,12.277,5.8201,13.815,11.943,11.734,10.562,13.988,13.189,15.833,2.708,13.252,3.3162,10.125,10.091,12.472,11.873,11.269,4.4229,12.384,11.461,10.319,10.032,13.402,12.301,14.57,2.2722,10.46,2.8379,9.3992,1
11.352,14.731,13.882,13.191,5.6807,13.422,12.027,11.998,11.638,14.037,12.799,13.936,2.4547,12.182,3.1423,8.8811,10.424,13.824,12.778,11.49,4.8946,12.438,11.23,10.592,10.576,13.394,12.151,13.564,2.1927,9.5401,2.7068,4.2268,2
11.101,14.625,13.987,12.963,5.7456,13.405,11.924,11.718,11.39,14.023,12.879,13.93,2.3973,12.445,2.9049,7.801,10.273,13.63,12.86,11.952,5.0605,12.743,11.436,10.639,10.718,13.474,12.34,13.571,2.1998,9.9002,2.7181,3.6996,2
11.176,14.738,14.679,13.479,5.9838,13.158,12.176,11.766,11.697,14.29,12.953,14.104,2.3711,12.534,2.9006,6.2908,10.379,13.986,13.069,12.107,4.9805,12.457,11.414,10.866,10.5,12.973,12.403,13.416,2.1803,9.72,2.7287,1.7956,2
11.121,14.39,13.988,13.288,5.9178,13.637,11.865,11.701,11.416,13.971,12.894,14.085,2.45,12.598,2.8735,4.7584,10.133,13.624,13.08,12.153,5.0618,12.718,11.307,10.757,10.689,13.386,12.439,13.524,2.1311,10.017,2.684,2.5476,2
11.428,14.417,13.989,13.627,6.0819,13.354,12.03,11.783,11.635,14.126,12.952,14.001,2.3782,12.784,2.9408,6.6961,10.054,13.744,13.096,12.452,5.1104,12.845,11.319,10.75,10.639,13.694,12.442,13.656,2.2158,10.119,2.6825,2.0249,2
11.068,14.809,14.541,13.722,6.0266,13.321,11.909,11.924,11.764,14.14,13.102,14.167,2.3587,12.557,2.9482,7.687,10.255,14.015,13.334,12.26,5.1696,12.83,11.411,10.78,10.897,13.731,12.53,13.778,2.1952,9.9401,2.7954,3.56,2
11.744,15.669,15.424,13.852,6.052,14.271,12.844,12.489,12.118,14.943,13.544,14.836,2.4246,13.001,3.0489,7.3906,10.089,13.48,13.168,12.386,5.0595,12.769,11.442,10.564,10.893,13.443,12.177,13.536,2.1608,10.046,2.7496,2.702,2
10.749,12.896,12.69,11.838,5.4251,12.87,11.927,12.138,12.079,14.542,14.104,15.258,2.7884,12.714,2.9598,8.4955,10.145,12.489,12.141,10.524,4.1369,11.427,10.885,10.032,9.7135,12.738,12.192,13.477,2.281,8.9895,2.683,7.7934,3
10.649,12.998,12.716,12.065,5.6643,12.25,11.938,10.964,10.946,13.601,13.495,14.338,2.9131,12.364,2.9773,8.3365,10.235,12.392,12.077,11.383,4.0125,11.867,10.907,10.453,10.508,12.912,12.314,13.691,2.3037,8.9279,2.7475,7.8221,3
10.713,13.036,12.685,11.76,5.7566,12.111,11.622,10.934,10.998,13.479,13.507,14.186,2.7994,12.181,2.9288,8.126,10.377,12.5,12.107,11.248,4.1044,11.554,11.031,10.417,10.542,12.863,12.243,13.732,2.2989,9.0444,2.7328,7.6712,3
10.991,13.072,12.673,12.026,5.7489,12.249,11.407,11.182,10.922,13.4,13.204,14.283,2.7711,12.25,2.9328,8.1888,10.477,12.742,12.071,11.129,4.1534,11.711,11.095,10.545,10.396,12.716,12.125,13.688,2.328,8.9008,2.7292,7.7369,3
11.053,13.082,12.731,11.777,5.4599,12.091,11.567,11.108,10.951,13.382,13.196,14.367,2.6599,12.099,2.996,8.1959,10.354,12.722,11.814,11.284,4.0819,11.497,11.02,10.537,10.519,12.553,11.983,13.75,2.2379,8.9366,2.8352,7.477,3
10.893,13.086,12.587,11.726,5.4203,12.268,11.566,10.886,10.715,13.293,13.247,14.096,2.6768,12.195,2.9816,8.3926,10.424,12.597,12.125,11.246,4.1066,11.442,11.073,10.373,10.29,12.69,11.897,13.803,2.2207,8.6561,2.8107,7.723,3
10.842,13.197,12.509,11.9,5.3019,12.05,11.378,10.886,10.728,13.25,12.837,14.058,2.4875,11.855,3.013,8.2403,10.417,12.769,12.01,11.236,4.0638,11.415,11.097,10.299,10.414,12.527,12.004,13.751,2.2447,8.693,2.7866,7.5258,3
9.4971,11.323,11.268,11.422,5.3716,12.24,11.496,11.04,9.8423,12.016,12,13.636,2.5399,10.541,3.7771,11.121,8.4611,10.426,10.149,10.15,4.2208,10.187,10.226,10.253,9.2813,10.943,10.871,12.797,2.1119,8.8647,3.0028,10.505,4
9.2038,11.254,11.128,11.084,4.7402,11.393,10.771,10.629,9.5943,11.384,11.283,13.143,2.3218,9.5402,3.5161,10.936,8.8331,10.711,10.638,10.472,4.3371,10.301,10.521,10.481,9.4534,11.124,11.073,12.841,2.1166,8.909,3.013,10.528,4
9.2429,11.402,11.358,11.053,4.6648,11.412,10.887,10.706,9.6025,11.287,11.336,13.078,2.2316,9.354,3.3793,10.874,8.9808,11.035,10.72,10.769,4.3252,10.331,10.593,10.443,9.4552,11.052,11.071,12.828,2.0571,8.7952,2.9644,10.375,4
9.2842,11.635,11.146,11.08,4.6185,11.404,10.957,10.729,9.591,11.395,11.371,13.071,2.2577,9.3875,3.4355,10.681,9.0066,11.114,10.532,10.61,4.3945,10.312,10.626,10.53,9.437,10.886,10.986,12.829,2.1313,8.8672,2.9594,10.301,4
9.3912,11.34,11.132,11.282,4.5562,11.361,10.837,10.727,9.607,11.399,11.473,12.991,2.254,9.4492,3.4665,10.64,9.1492,11.059,10.86,10.835,4.3519,10.373,10.512,10.535,9.4204,10.935,11.017,12.83,2.1042,8.8083,2.8095,10.293,4
9.4652,11.395,11.118,11.04,4.5774,11.387,10.859,10.733,9.6767,11.389,11.313,13.115,2.249,9.4809,3.3419,10.543,9.1218,11.069,10.695,10.609,4.3365,10.268,10.524,10.478,9.4908,10.908,10.938,12.8,2.0571,8.7837,2.9282,10.151,4
9.3829,11.351,11.161,11.183,4.6305,11.298,11.011,10.7,9.6448,11.392,11.279,13.068,2.1908,9.2003,3.2724,10.492,8.9554,10.921,10.729,10.533,4.2814,10.163,10.503,10.384,9.3729,10.779,10.949,12.444,2.0655,8.7056,2.8946,9.9458,4
9.0219,10.608,10.9,10.85,4.6382,11.276,10.978,10.626,9.3933,11.374,11.379,13.023,2.2558,9.4758,3.1443,10.413,8.4016,10.078,10.632,10.38,4.2178,10.57,10.606,10.283,9.0089,10.932,11.158,12.739,2.1425,9.0395,2.8393,9.9577,5
9.27,10.868,11.02,10.864,4.7307,11.502,10.96,10.792,9.494,11.506,11.492,13.126,2.2646,10.019,3.1789,10.501,8.9096,10.461,10.738,10.677,4.5813,10.802,10.66,10.596,9.3933,11.323,11.292,12.955,2.1843,9.3357,3.008,10.269,5
9.3862,11.09,11.188,10.991,4.8482,11.621,11.137,10.816,9.5784,11.662,11.593,13.159,2.2764,9.9164,3.2157,10.584,9.1994,10.781,10.917,10.814,4.6651,11.24,10.81,10.605,9.4169,11.48,11.358,12.991,2.1743,9.6176,3.0871,10.469,5
9.4858,11.046,11.209,11.019,4.8143,11.654,11.048,10.944,9.6248,11.602,11.696,13.127,2.2743,9.8844,3.2102,10.566,9.117,10.656,10.898,10.881,4.6095,11.388,10.787,10.619,9.3478,11.486,11.479,12.977,2.1934,9.4539,2.8809,10.433,5
9.5502,11.041,11.32,11.071,4.7913,11.662,11.097,10.805,9.5443,11.662,11.744,13.068,2.2897,9.7689,3.157,10.593,9.2582,10.817,11.031,10.768,4.5767,11.245,10.762,10.62,9.2872,11.476,11.489,12.975,2.1782,9.2958,2.9968,10.44,5
9.6435,11.169,11.244,11.058,4.8343,11.539,11.603,10.797,9.5463,11.628,11.682,13.106,2.2951,9.8012,3.236,10.596,9.2033,10.921,10.926,10.667,4.5334,11.259,10.528,10.601,9.3755,11.482,11.592,12.947,2.1036,9.2882,3.0495,10.474,5
9.6378,11.139,11.219,10.91,4.7031,11.705,10.744,10.763,9.5596,11.716,11.725,13.106,2.273,9.7772,3.2052,10.671,9.2634,10.955,10.918,10.669,4.4739,11.087,1.2983,10.635,7.7319,11.553,11.51,12.872,2.1036,9.2736,3.027,10.557,5
8.5148,10.787,11.257,11.232,4.7907,11.952,11.189,10.835,9.6228,11.539,11.475,13.213,2.2154,9.8415,3.7426,10.684,7.8968,10.562,10.71,10.816,4.4374,10.94,10.782,10.591,9.0904,11.165,11.166,13.019,2.1538,9.5502,3.285,10.208,6
8.8308,11.051,11.185,11.199,4.712,11.448,10.981,10.733,9.6348,11.543,11.528,13.207,2.2593,9.802,3.8101,10.795,8.5006,10.66,10.732,10.816,4.5034,10.804,10.755,10.596,9.509,11.123,11.331,13.055,2.1447,9.3947,3.4757,10.654,6
8.9864,11.098,11.131,11.246,4.7535,11.613,11.03,10.869,9.6735,11.537,11.507,13.205,2.2588,9.8969,3.8508,10.852,8.7765,10.947,10.949,10.907,4.5752,10.864,10.808,10.623,9.5565,11.176,11.215,13.049,2.1451,9.375,3.3424,10.769,6
8.9841,11.106,11.109,11.157,4.6981,11.476,11.068,10.857,9.6974,11.519,11.449,13.195,2.2485,9.7322,3.7718,10.905,8.8732,11.003,10.913,10.858,4.5501,10.977,10.776,10.686,9.5795,11.189,11.264,13.066,2.1687,9.462,3.4421,10.787,6
9.0564,11.09,11.27,11.16,4.8662,11.458,11.03,10.925,9.7169,11.531,11.449,13.187,2.2782,9.6741,3.7126,10.874,8.7121,10.898,10.794,10.952,4.5417,10.963,10.804,10.619,9.5149,11.108,11.239,13.005,2.1298,9.4572,3.3616,10.726,6
9.0712,11.261,11.207,11.362,4.8617,11.737,11.189,10.886,9.5149,11.459,11.424,13.193,2.3219,9.5825,3.6045,10.889,8.5963,10.929,10.902,11.088,4.587,11.211,10.988,10.697,9.364,11.108,11.141,12.929,2.1036,9.2028,3.1264,10.692,6
9.2487,11.616,11.503,11.6,5.0002,11.915,11.25,10.904,9.776,11.859,11.754,13.781,2.2738,9.4917,3.6377,11.003,8.7651,10.856,10.819,10.97,4.6641,11.383,10.924,10.612,9.2631,11.146,11.062,12.757,2.1055,9.0521,3.0962,10.369,6
9.2039,12.105,11.728,11.19,4.8189,11.992,10.852,10.055,9.3927,11.859,11.516,13.298,2.3683,10.129,3.4511,9.5955,8.5245,11.308,10.754,10.401,4.475,10.669,10.276,9.5921,8.9601,11.28,10.988,12.995,2.0828,8.8315,3.2045,9.0054,7
9.2998,11.889,11.531,11.092,4.8067,11.711,10.879,10.163,9.5016,11.825,11.59,13.313,2.3034,9.8777,3.5112,9.5955,8.5594,11.28,10.809,10.592,4.4921,10.577,10.3,9.8701,9.2945,11.35,11.14,12.982,2.121,9.2598,3.2044,9.3637,7
9.1385,11.852,11.715,11.086,4.9138,11.933,10.853,10.145,9.6463,11.895,11.932,13.405,2.2976,10.111,3.4934,9.7192,8.5927,11.331,10.955,10.502,4.529,10.562,10.364,9.8724,9.2559,11.469,11.395,13.07,2.1353,8.931,3.2284,9.4959,7
