feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,value
11.11,11.94,12.19,11.11,5.66,12.19,10.84,10.26,9.92,12.57,12.38,13.84,2.77,12.72,3.88,9.69,9.63,11.06,11.31,10.39,4.65,11.29,10.26,9.52,9.25,11.97,11.34,12.85,1.75,9.79,2.51,8.75,1
10.78,11.98,12.11,11.61,5.78,12.67,10.88,10.1,10.17,12.79,12.5,13.55,2.87,12.68,3.88,9.47,9.44,11.02,11.02,10.41,4.35,10.81,10.45,9.62,9.37,11.79,11.32,12.78,2.16,9.42,2.77,8.86,1
10.44,11.81,11.95,11.17,5.79,12.14,11.66,10.55,9.77,12.6,12.47,13.62,2.92,13.04,3.43,9.46,9.27,11.1,11.06,10.29,4.55,10.97,10.38,9.59,9.17,11.62,11.47,12.72,2.17,9.58,2.83,8.35,1
10.51,12.02,11.83,11.14,5.69,12.02,11.22,10.1,10.05,12.55,12.24,13.86,2.82,12.44,3.36,9.4,9.04,11.1,10.99,10.24,4.41,11.08,10.38,9.68,9.02,11.64,10.97,12.85,2.16,9.01,2.56,8.83,1
11.46,15.03,13.93,14.88,5.76,14.8,12.23,13.6,12.32,15.36,14.08,14.1,2.95,12.26,3.19,8.94,10.08,13.23,12.65,11.33,4.69,10,9.08,10.13,10.28,13.3,12.02,13.52,2.07,9.44,2.71,2.06,2
11.34,16.63,14.18,13.3,6.06,14.08,12.18,13.18,12.32,14.24,13.13,14.13,2.42,12.58,3.04,7.89,10.08,12.4,10.78,11.55,4.51,12.43,11.25,9.55,10.52,13.34,12.23,13.25,2.07,9.36,2.56,2.07,2
11.6,15.6,16.28,13.73,6.1,13.98,13.75,12.2,11.78,15.02,13.58,14.9,2.46,12.68,3.04,6.59,9.84,13.53,12.6,11.8,4.51,10.83,11.28,9.93,8.74,11.58,12.07,12.55,2.13,9.52,2.67,2.02,2
12.54,15.6,14.48,13.55,5.99,15.63,12.25,13.55,11.54,14.68,13.88,15.05,2.5,13.78,2.96,6.19,9.54,12.67,12.83,11.43,4.96,12.3,10.93,10.4,10.18,12.18,11.68,13.38,1.64,9.72,2.59,2.03,2
11.56,14.63,14.48,14,6.3,14.3,13.85,11.78,12.74,14.6,13.27,14.73,2.41,12.92,3.47,7.08,9.56,13.53,12.93,11.93,4.78,12.18,10.9,10.5,10.4,13.1,12.28,13.43,2.14,9.84,2.61,2.04,2
12.7,16.67,15.8,13.83,6.49,13.7,12.4,12.33,11.92,14.42,13.22,15.32,2.46,12.78,3.31,8.02,9.96,13.43,13.13,11.73,5.08,12.28,10.93,9.93,10.66,13.26,12.37,13.48,2.06,9.8,2.71,1.76,2
12.3,16.67,14.75,14.05,6.3,13.93,13.88,12.33,12.18,15.36,13.88,14.58,2.47,13.14,3.14,8.14,9.96,11.2,11.38,12.15,4.4,12.4,11.15,9,10.56,12.08,12.22,12.82,1.93,9.92,2.67,1.96,2
11.1,13.18,13.2,12.12,5.53,12.73,12.2,11.28,11.26,13.82,13.72,15.82,2.83,13.88,3.42,8.51,9.76,11.93,11.8,8.94,3.89,11.32,9.3,10.34,8.92,12.4,12.12,13.54,2.21,8.74,2.25,7.59,3
11.82,14.15,13.3,12.26,5.74,12.68,13.22,11.58,12.24,14.26,13.56,14.54,2.94,12.68,3.28,8.67,9.78,10.35,11.73,10.74,3.37,11.52,9.48,8.82,9.1,12.68,11.68,13.46,2.27,8.44,2.27,6.93,3
10.96,13.8,13.55,12.6,5.92,12.3,12.88,11.58,11.4,13.74,13.96,14.6,2.86,12.28,3.12,9.07,10.06,11.93,11.85,10,3.93,10.85,10.54,9.56,9.96,12.66,11.38,13.46,2.24,8.16,2.68,7.53,3
